epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,8666.97,0.53266,0.6263,1.13167,0.87878,0.83548,0.89954,0.72559,0.77826,0.67311,0.99948,0.00571,0.00571,0.00571
67,8797.2,0.53263,0.62694,1.13322,0.88498,0.83507,0.90169,0.72898,0.77025,0.6632,0.99128,0.005644,0.005644,0.005644
68,8930.46,0.52451,0.61272,1.12697,0.88032,0.83831,0.90218,0.73137,0.76084,0.65748,0.98258,0.005578,0.005578,0.005578
69,9064.03,0.52775,0.61384,1.12974,0.88331,0.83739,0.90337,0.73427,0.75403,0.65421,0.97671,0.005512,0.005512,0.005512
70,9194.48,0.52113,0.60353,1.12217,0.87734,0.84493,0.90435,0.73646,0.7513,0.65091,0.97558,0.005446,0.005446,0.005446
71,9328.52,0.51325,0.60275,1.12231,0.88253,0.84146,0.90505,0.73898,0.74721,0.64589,0.9727,0.00538,0.00538,0.00538
72,9459.36,0.50746,0.59439,1.11518,0.88877,0.83788,0.90548,0.73977,0.74332,0.64394,0.96913,0.005314,0.005314,0.005314
73,9593.38,0.51397,0.5942,1.11563,0.88773,0.84109,0.90543,0.7409,0.73932,0.64218,0.96516,0.005248,0.005248,0.005248
74,9723.16,0.50813,0.58408,1.11386,0.88748,0.84403,0.90577,0.74331,0.73405,0.63718,0.9604,0.005182,0.005182,0.005182
75,9854.76,0.50379,0.58389,1.10884,0.88785,0.84657,0.90674,0.74586,0.72896,0.63359,0.95619,0.005116,0.005116,0.005116
76,9990.35,0.50477,0.57953,1.11192,0.88835,0.849,0.90757,0.74801,0.7254,0.62936,0.95209,0.00505,0.00505,0.00505
77,10125.1,0.50173,0.56886,1.10656,0.89731,0.84283,0.90851,0.74957,0.72271,0.62614,0.94832,0.004984,0.004984,0.004984
78,10260.5,0.49928,0.57087,1.10434,0.89486,0.8475,0.90929,0.7507,0.72038,0.62232,0.94631,0.004918,0.004918,0.004918
79,10393.7,0.50109,0.56641,1.1051,0.89547,0.84751,0.91012,0.75217,0.71741,0.61837,0.94295,0.004852,0.004852,0.004852
80,10531.3,0.48961,0.56335,1.10307,0.89454,0.85151,0.9113,0.75349,0.71502,0.61634,0.94057,0.004786,0.004786,0.004786
81,10660.9,0.4929,0.55768,1.09987,0.89661,0.8507,0.91213,0.75458,0.71263,0.61168,0.93851,0.00472,0.00472,0.00472
82,10793.2,0.48468,0.55224,1.09208,0.89428,0.85266,0.91188,0.75526,0.71135,0.60931,0.93823,0.004654,0.004654,0.004654
83,10927,0.48069,0.54615,1.09317,0.89745,0.85216,0.91225,0.75606,0.70872,0.6071,0.93582,0.004588,0.004588,0.004588
84,11058.3,0.47828,0.54877,1.09053,0.89571,0.85099,0.91238,0.75758,0.70443,0.60452,0.9311,0.004522,0.004522,0.004522
85,11188.5,0.47461,0.53869,1.08547,0.89451,0.85297,0.91255,0.75872,0.70328,0.60249,0.93019,0.004456,0.004456,0.004456
86,11320.6,0.47798,0.53365,1.08483,0.90519,0.84463,0.9131,0.76044,0.69921,0.60001,0.92696,0.00439,0.00439,0.00439
87,11451.9,0.46428,0.52648,1.0803,0.90851,0.84212,0.91295,0.76086,0.69695,0.59831,0.92474,0.004324,0.004324,0.004324
88,11583.2,inf,0.52397,1.08262,0.89818,0.85173,0.91317,0.76153,0.69362,0.59525,0.9222,0.004258,0.004258,0.004258
89,11716.7,0.46908,0.52995,1.08053,0.88959,0.86168,0.91325,0.76262,0.69039,0.5935,0.91956,0.004192,0.004192,0.004192
90,11847.3,0.46178,0.52049,1.07651,0.89073,0.8622,0.91363,0.76365,0.68801,0.59274,0.91785,0.004126,0.004126,0.004126
91,11979.1,0.46573,0.51743,1.07574,0.89216,0.86073,0.91343,0.76432,0.68605,0.59173,0.91604,0.00406,0.00406,0.00406
92,12110.1,0.46042,0.51561,1.07338,0.8907,0.86422,0.91405,0.76586,0.68287,0.58875,0.91362,0.003994,0.003994,0.003994
93,12244.9,0.4549,0.5038,1.06829,0.89181,0.86476,0.91434,0.76621,0.68079,0.58667,0.91207,0.003928,0.003928,0.003928
94,12376.5,0.45116,0.50464,1.07041,0.8929,0.86403,0.91469,0.76649,0.67916,0.58533,0.91029,0.003862,0.003862,0.003862
95,12512,0.44723,0.50146,1.06664,0.89294,0.86513,0.91521,0.76764,0.67822,0.58416,0.90931,0.003796,0.003796,0.003796
96,12644.5,0.44612,0.49887,1.06366,0.89524,0.86211,0.91557,0.76902,0.6765,0.58283,0.9078,0.00373,0.00373,0.00373
97,12777.6,0.44887,0.49791,1.06472,0.90208,0.85643,0.91594,0.76986,0.67498,0.58113,0.90677,0.003664,0.003664,0.003664
98,12910.9,0.44036,0.48902,1.06,0.90575,0.85481,0.91622,0.77058,0.67248,0.57942,0.90456,0.003598,0.003598,0.003598
99,13040.4,0.44456,0.49291,1.06012,0.9052,0.85607,0.9166,0.77184,0.67085,0.57803,0.90308,0.003532,0.003532,0.003532
100,13172.9,0.43344,0.48651,1.05469,0.906,0.85704,0.91687,0.77264,0.66909,0.57659,0.90163,0.003466,0.003466,0.003466
101,13306.6,0.43488,0.48432,1.05525,0.90247,0.8598,0.91707,0.77299,0.66725,0.57483,0.9001,0.0034,0.0034,0.0034
102,13436,0.43204,0.47507,1.05297,0.90114,0.86107,0.91732,0.77382,0.66591,0.57387,0.89891,0.003334,0.003334,0.003334
103,13567.6,0.4266,0.47476,1.04975,0.90344,0.85944,0.91742,0.77444,0.66507,0.57283,0.89796,0.003268,0.003268,0.003268
104,13701.1,0.42058,0.46762,1.04657,0.90321,0.86013,0.91774,0.77513,0.66394,0.57169,0.89685,0.003202,0.003202,0.003202
105,13830.9,0.42331,0.46311,1.04628,0.90251,0.86186,0.91777,0.77593,0.6632,0.57053,0.89646,0.003136,0.003136,0.003136
106,13962.6,0.42,0.46248,1.04397,0.89774,0.86629,0.91812,0.77665,0.66236,0.56895,0.89544,0.00307,0.00307,0.00307
107,14099.3,0.41234,0.45637,1.03737,0.90833,0.8571,0.91838,0.7777,0.66113,0.56797,0.89436,0.003004,0.003004,0.003004
108,14231.1,0.41611,0.46331,1.04206,0.9034,0.86234,0.91854,0.77792,0.66018,0.56705,0.89336,0.002938,0.002938,0.002938
109,14361.6,0.41255,0.45385,1.03812,0.90664,0.86011,0.91877,0.77832,0.65878,0.56563,0.89211,0.002872,0.002872,0.002872
